"rw-river-article__title","rw-river-article__title href","rw-entity-meta__tag-label 2","rw-entity-meta__tag-link","rw-entity-meta__tag-link href","rw-entity-meta__tag-value__list__item","rw-entity-meta__tag-label 3","rw-entity-meta__tag-link 2","rw-entity-meta__tag-link href 2"
"Sudan: Floods - Jul 2014","https://reliefweb.int/disaster/fl-2014-000098-sdn","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","1 more","Affected country","Sudan","https://reliefweb.int/country/sdn"
"Somalia: Measles Outbreak - May 2014","https://reliefweb.int/disaster/ep-2014-000093-som","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Somalia","https://reliefweb.int/country/som"
"South Sudan: Cholera Outbreak - May 2014","https://reliefweb.int/disaster/ep-2014-000064-ssd","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","South Sudan","https://reliefweb.int/country/ssd"
"Tanzania: Floods - Apr 2014","https://reliefweb.int/disaster/fl-2014-000053-tza","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","1 more","Affected country","Tanzania","https://reliefweb.int/country/tza"
"West Africa: Ebola Outbreak - Mar 2014","https://reliefweb.int/disaster/ep-2014-000041-gin","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","15 more","Affected countries","Liberia","https://reliefweb.int/country/lbr"
"Burundi: Floods and Landslides - Feb 2014","https://reliefweb.int/disaster/fl-2014-000019-bdi","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","2 more","Affected country","Burundi","https://reliefweb.int/country/bdi"
"Tanzania: Flash Floods - Jan 2014","https://reliefweb.int/disaster/ff-2014-000009-tza","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","1 more","Affected country","Tanzania","https://reliefweb.int/country/tza"
"Sudan: Yellow Fever Outbreak - Nov 2013","https://reliefweb.int/disaster/ep-2013-000146-sdn","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Sudan","https://reliefweb.int/country/sdn"
"Somalia: Floods - Nov 2013","https://reliefweb.int/disaster/fl-2013-000141-som","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Affected country","Somalia","https://reliefweb.int/country/som"
"Somalia: Tropical Cyclone - Nov 2013","https://reliefweb.int/disaster/tc-2013-000140-som","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","2 more","Affected country","Somalia","https://reliefweb.int/country/som"
"South Sudan: Measles Outbreak - Sep 2013","https://reliefweb.int/disaster/ep-2013-000126-ssd","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","South Sudan","https://reliefweb.int/country/ssd"
"Uganda: Measles Outbreak - Aug 2013","https://reliefweb.int/disaster/ep-2013-000096-uga","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Uganda","https://reliefweb.int/country/uga"
"South Sudan: Floods - Aug 2013","https://reliefweb.int/disaster/fl-2013-000108-ssd","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","1 more","Affected country","South Sudan","https://reliefweb.int/country/ssd"
"Sudan: Flash Floods - Aug 2013","https://reliefweb.int/disaster/ff-2013-000091-sdn","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","1 more","Affected country","Sudan","https://reliefweb.int/country/sdn"
"Ethiopia: Yellow Fever Outbreak - May 2013","https://reliefweb.int/disaster/ep-2013-000067-eth","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Ethiopia","https://reliefweb.int/country/eth"
"South Sudan: Meningitis Outbreak - May 2013","https://reliefweb.int/disaster/ep-2013-000065-ssd","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","South Sudan","https://reliefweb.int/country/ssd"
"Horn of Africa: Polio Outbreak - May 2013","https://reliefweb.int/disaster/ep-2013-000064-ken","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","4 more","Affected countries","Somalia","https://reliefweb.int/country/som"
"Uganda: Cholera Outbreak - May 2013","https://reliefweb.int/disaster/ep-2013-000058-uga","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Uganda","https://reliefweb.int/country/uga"
"Uganda: Floods - May 2013","https://reliefweb.int/disaster/fl-2013-000055-uga","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","1 more","Affected country","Uganda","https://reliefweb.int/country/uga"
"Somalia: Floods - Apr 2013","https://reliefweb.int/disaster/fl-2013-000052-som","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","1 more","Affected country","Somalia","https://reliefweb.int/country/som"
