ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
4992,,Somalia,Ethiopia,46.3425,8.6952,416954.67,2020-11-22,2020-11-23,FloodList,0,0,Tropical Storm Gati,1.5
5016,,Burundi,,29.9375,-3.61841,22006.48,2021-01-08,2021-02-03,FloodList,0,1500,Heavy Rain,1.5
5041,,Burundi,,30.5685,-3.06701,46847.05,2021-02-24,2021-03-01,FloodList,0,1900,Heavy Rain,1.5
5055,,Rwanda,,29.8881,-1.58531,6066.26,2021-04-27,2021-04-28,FloodList,1,15,Torrential Rain,1.0
5058,,Kenya,,35.4059,-0.422939,23483.27,2021-04-23,2021-05-24,FloodList,6,39054,Heavy Rain,1.5
5063,,Uganda,,31.6943,-0.272389,16049.97,2021-05-04,2021-05-09,FloodList,0,0,Heavy Rain,1.0
5065,,Somalia,,45.2538,2.54787,55048.54,2021-05-07,2021-06-01,FloodList,9,100000,Heavy Rain,1.5
5068,,Ethiopia,,37.2616,7.53523,176121.08,2021-04-26,2021-05-10,FloodList,7,27400,Heavy Rain,1.5
5110,,Somalia,,45.5507,4.50621,66965.12,2021-08-11,2021-08-17,FloodList,2,10000,Heavy Rain,1.5
5116,,Sudan,,30.0118,12.1503,734281.01,2021-08-01,2021-09-22,FloodList,0,60000,Heavy Rain,1.5
