id,name,country,disaster_type,year,month,day
51110,Kenya: Yellow Fever and Chikungunya Outbreaks - Jan 2022,Kenya,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2022,1,12
50895,Uganda: Floods and Landslides - Sep 2021,Uganda,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}, {'id': 4728, 'name': 'Land Slide', 'code': 'LS'}]",2021,9,17
50772,Sudan: Floods - Jul 2021,Sudan,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF'}, {'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}, {'id': 4656, 'name': 'Severe Local Storm', 'code': 'ST'}]",2021,7,23
50794,South Sudan: Floods 2021-2022,South Sudan,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2021,7,15
50696,Somalia: Floods - May 2021,Somalia,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF'}, {'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2021,5,5
50701,Rwanda: Floods and Windstorm - Apr 2021,Rwanda,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}, {'id': 4814, 'name': 'Mud Slide', 'code': 'MS'}, {'id': 4656, 'name': 'Severe Local Storm', 'code': 'ST'}]",2021,4,28
50699,Tropical Storm Jobo - Apr 2021,Comoros,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF'}, {'id': 4611, 'name': 'Flood', 'code': 'FL'}, {'id': 4618, 'name': 'Tropical Cyclone', 'code': 'TC', 'primary': True}]",2021,4,21
50687,Burundi: Floods - Apr 2021,Burundi,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2021,4,20
50685,Kenya: Floods - Apr 2021,Kenya,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2021,4,7
50703,Kenya: Dengue Outbreak - May 2021,Kenya,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2021,3,1
50513,Tropical Cyclone Gati - Nov 2020,Somalia,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF'}, {'id': 4618, 'name': 'Tropical Cyclone', 'code': 'TC', 'primary': True}]",2020,11,22
50494,Somalia: Flash Floods - Oct 2020,Somalia,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF'}, {'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2020,10,24
50399,Sudan: Polio Outbreak - Aug 2020,Sudan,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2020,8,9
50406,South Sudan: Floods - Aug 2020,South Sudan,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2020,8,7
50382,Sudan: Floods - Jul 2020,Sudan,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2020,7,29
50285,Uganda: Floods and Landslides - May 2020,Uganda,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}, {'id': 4728, 'name': 'Land Slide', 'code': 'LS'}, {'id': 4814, 'name': 'Mud Slide', 'code': 'MS'}]",2020,5,4
50286,Tanzania: Floods - Apr 2020,United Republic of Tanzania,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF', 'primary': True}, {'id': 4611, 'name': 'Flood', 'code': 'FL'}, {'id': 4728, 'name': 'Land Slide', 'code': 'LS'}]",2020,4,24
50282,Ethiopia: Floods - Apr 2020,Ethiopia,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF'}, {'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2020,4,24
