"rw-river-article__title","rw-river-article__title href","rw-entity-meta__tag-value--status--past","rw-entity-meta__tag-label 2","rw-entity-meta__tag-link","rw-entity-meta__tag-link href","rw-entity-meta__tag-value__list__item","rw-entity-meta__tag-label 3","rw-entity-meta__tag-link 2","rw-entity-meta__tag-link href 2"
"Somalia: Floods - Mar 2023","https://reliefweb.int/disaster/ff-2023-000044-som","Past Disaster","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","1 more","Affected country","Somalia","https://reliefweb.int/country/som"
"Ethiopia: Floods - Mar 2023","https://reliefweb.int/disaster/fl-2023-000052-eth","Past Disaster","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Affected country","Ethiopia","https://reliefweb.int/country/eth"
"Burundi: Cholera Outbreak - Jan 2023","https://reliefweb.int/disaster/ep-2023-000075-bdi","","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Burundi","https://reliefweb.int/country/bdi"
"South Sudan: Measles - Dec 2022","https://reliefweb.int/disaster/ep-2023-000048-ssd","","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","South Sudan","https://reliefweb.int/country/ssd"
"Kenya: Cholera Outbreak - Oct 2022","https://reliefweb.int/disaster/ep-2022-000367-ken","Past Disaster","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Kenya","https://reliefweb.int/country/ken"
"Uganda: Ebola Outbreak - Sep 2022","https://reliefweb.int/disaster/ep-2022-000315-uga","Past Disaster","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Uganda","https://reliefweb.int/country/uga"
"Ethiopia: Cholera Outbreak - Sep 2022","https://reliefweb.int/disaster/ep-2022-000323-eth","","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Ethiopia","https://reliefweb.int/country/eth"
"Uganda: Floods - Jul 2022","https://reliefweb.int/disaster/fl-2022-000275-uga","Past Disaster","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","1 more","Affected country","Uganda","https://reliefweb.int/country/uga"
"Chad: Floods - Jul 2022","https://reliefweb.int/disaster/fl-2022-000287-tcd","Past Disaster","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","1 more","Affected countries","Chad","https://reliefweb.int/country/tcd"
"Ethiopia: Floods - Jul 2022","https://reliefweb.int/disaster/fl-2022-000356-eth","Past Disaster","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Affected country","Ethiopia","https://reliefweb.int/country/eth"
"Sudan: Floods - Jun 2022","https://reliefweb.int/disaster/fl-2022-000277-sdn","Past Disaster","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","1 more","Affected country","Sudan","https://reliefweb.int/country/sdn"
"Somalia: Rain and Windstorms - May 2022","https://reliefweb.int/disaster/vw-2022-000214-som","Past Disaster","Disaster type","Severe Local Storm","https://reliefweb.int/disasters?list=Severe%20Local%20Storm%20Disasters&advanced-search=%28TY4656%29","","Affected country","Somalia","https://reliefweb.int/country/som"
"South Sudan: Cholera Outbreak - May 2022","https://reliefweb.int/disaster/ep-2022-000236-ssd","Past Disaster","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","South Sudan","https://reliefweb.int/country/ssd"
"Tanzania: Cholera Outbreak - Apr 2022","https://reliefweb.int/disaster/ep-2022-000211-tza","Past Disaster","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Tanzania","https://reliefweb.int/country/tza"
"Somalia: Urban Fire Incident - Apr 2022","https://reliefweb.int/disaster/fr-2022-000191-som","Past Disaster","Disaster type","Fire","https://reliefweb.int/disasters?list=Fire%20Disasters&advanced-search=%28TY5706%29","","Affected country","Somalia","https://reliefweb.int/country/som"
"Djibouti: Drought - Mar 2022","https://reliefweb.int/disaster/dr-2022-000238-dji","Past Disaster","Disaster type","Drought","https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29","","Affected country","Djibouti","https://reliefweb.int/country/dji"
"Sudan: Kala-azar Outbreak - Feb 2022","https://reliefweb.int/disaster/ep-2022-000177-sdn","Past Disaster","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Sudan","https://reliefweb.int/country/sdn"
"Kenya: Yellow Fever and Chikungunya Outbreaks - Jan 2022","https://reliefweb.int/disaster/ep-2022-000183-ken","Past Disaster","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Kenya","https://reliefweb.int/country/ken"
"Uganda: Floods and Landslides - Sep 2021","https://reliefweb.int/disaster/fl-2021-000153-uga","Past Disaster","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","1 more","Affected country","Uganda","https://reliefweb.int/country/uga"
"Sudan: Floods - Jul 2021","https://reliefweb.int/disaster/ff-2021-000090-sdn","Past Disaster","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","2 more","Affected country","Sudan","https://reliefweb.int/country/sdn"
