"rw-river-article__title","rw-river-article__title href","rw-entity-meta__tag-link","rw-entity-meta__tag-link href","rw-entity-meta__tag-label 3","rw-entity-meta__tag-link 2","rw-entity-meta__tag-link href 2"
"Sudan/Egypt: Earthquakes - Aug 1993","https://reliefweb.int/taxonomy/term/6217","Earthquake","https://reliefweb.int/disasters?list=Earthquake%20Disasters&advanced-search=%28TY4628%29","Affected countries","Egypt","https://reliefweb.int/country/egy"
"Eritrea: Hailstorm - Apr 1993","https://reliefweb.int/taxonomy/term/6203","Severe Local Storm","https://reliefweb.int/disasters?list=Severe%20Local%20Storm%20Disasters&advanced-search=%28TY4656%29","Affected country","Eritrea","https://reliefweb.int/country/eri"
"Tanzania: Floods - Feb 1993","https://reliefweb.int/taxonomy/term/4732","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Tanzania","https://reliefweb.int/country/tza"
"Sudan: Earthquake - May 1990","https://reliefweb.int/taxonomy/term/6306","Earthquake","https://reliefweb.int/disasters?list=Earthquake%20Disasters&advanced-search=%28TY4628%29","Affected country","Sudan","https://reliefweb.int/country/sdn"
"Tanzania: Floods - Apr 1990","https://reliefweb.int/taxonomy/term/4779","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Tanzania","https://reliefweb.int/country/tza"
"Somalia: Floods - Jun 1989","https://reliefweb.int/taxonomy/term/5182","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Somalia","https://reliefweb.int/country/som"
"Tanzania: Floods - Apr 1989","https://reliefweb.int/taxonomy/term/6537","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Tanzania","https://reliefweb.int/country/tza"
"Djibouti: Floods - Apr 1989","https://reliefweb.int/taxonomy/term/5125","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Djibouti","https://reliefweb.int/country/dji"
"Ethiopia: Meningitis Epidemic - Feb 1989","https://reliefweb.int/taxonomy/term/6077","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Affected country","Ethiopia","https://reliefweb.int/country/eth"
"Burundi: Floods - Feb 1989","https://reliefweb.int/taxonomy/term/5026","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Burundi","https://reliefweb.int/country/bdi"
"Sudan: Floods - Aug 1988","https://reliefweb.int/taxonomy/term/6643","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Sudan","https://reliefweb.int/country/sdn"
"Rwanda: Torrential Rains - May 1988","https://reliefweb.int/taxonomy/term/4896","Severe Local Storm","https://reliefweb.int/disasters?list=Severe%20Local%20Storm%20Disasters&advanced-search=%28TY4656%29","Affected country","Rwanda","https://reliefweb.int/country/rwa"
"Sudan: Drought Affected Population - Mar 1988","https://reliefweb.int/taxonomy/term/6314","Drought","https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29","Affected country","Sudan","https://reliefweb.int/country/sdn"
"Djibouti: Drought - Feb 1988","https://reliefweb.int/taxonomy/term/6479","Drought","https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29","Affected country","Djibouti","https://reliefweb.int/country/dji"
"Ethiopia: Drought - Jan 1988","https://reliefweb.int/taxonomy/term/6674","Drought","https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29","Affected country","Ethiopia","https://reliefweb.int/country/eth"
"Somalia: Drought May - 1987","https://reliefweb.int/taxonomy/term/6163","Drought","https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29","Affected country","Somalia","https://reliefweb.int/country/som"
"Sudan: Drought/Insecurity/Pest Infestation - Aug 1986","https://reliefweb.int/taxonomy/term/6481","Insect Infestation","https://reliefweb.int/disasters?list=Insect%20Infestation%20Disasters&advanced-search=%28TY5255%29","Affected country","Sudan","https://reliefweb.int/country/sdn"
"Somalia: Hazardous Materials Accident - Sep 1985","https://reliefweb.int/taxonomy/term/6013","Technological Disaster","https://reliefweb.int/disasters?list=Technological%20Disaster%20Disasters&advanced-search=%28TY4620%29","Affected country","Somalia","https://reliefweb.int/country/som"
"Somalia: Cholera Epidemic - Apr 1985","https://reliefweb.int/taxonomy/term/5536","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Affected country","Somalia","https://reliefweb.int/country/som"
"Sudan: Drought/Refugees - Jan 1985","https://reliefweb.int/taxonomy/term/5188","Drought","https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29","Affected country","Sudan","https://reliefweb.int/country/sdn"
